Location_id,Sensor_id,State,Area,Sensor_name,Latitude,Longitude,Population_millions,Month,Asthama_Cases,Bronchitis_Cases,Heart_attacks,COPD_Cases,Neumonia_Cases,DateTimeFrom,DateTimeTo,Pollutant_value,AQI_category
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,January,6400,11016,1150,16300,4550,2020-01-01,2020-02-01,1070.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,February,6400,10098,1100,14940,3900,2020-02-01,2020-03-01,1010.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,March,7200,8262,1200,13590,3900,2020-03-01,2020-04-01,656.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,April,5600,6426,1300,10860,3900,2020-04-01,2020-05-01,110.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,May,4800,5508,1250,9505,4550,2020-05-01,2020-06-01,174.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,June,4000,4590,1200,8150,6500,2020-06-01,2020-07-01,598.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,July,3200,5508,1150,9505,9100,2020-07-01,2020-08-01,644.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,August,4800,5508,1200,10860,9100,2020-08-01,2020-09-01,356.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,September,6400,6426,1250,12220,7150,2020-09-01,2020-10-01,360.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,October,8000,8262,1300,13590,4550,2020-10-01,2020-11-01,460.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,November,8000,10098,1250,14940,3900,2020-11-01,2020-12-01,711.0,Severe
5628,14969,Andhra Pradesh,GVM Corporation,co µg/m³,17.722682,83.308197,54.0,December,7200,10098,1200,17655,3900,2020-12-01,2021-01-01,1150.0,Severe
