Sensor_id,Value,DateTimeFrom,DateTimeTo
14969,1070.0,2020-01-01,2020-02-01
14969,1010.0,2020-02-01,2020-03-01
14969,656.0,2020-03-01,2020-04-01
14969,110.0,2020-04-01,2020-05-01
14969,174.0,2020-05-01,2020-06-01
14969,598.0,2020-06-01,2020-07-01
14969,644.0,2020-07-01,2020-08-01
14969,356.0,2020-08-01,2020-09-01
14969,360.0,2020-09-01,2020-10-01
14969,460.0,2020-10-01,2020-11-01
14969,711.0,2020-11-01,2020-12-01
14969,1150.0,2020-12-01,2021-01-01
14957,33.6,2020-01-01,2020-02-01
14957,35.2,2020-02-01,2020-03-01
14957,28.9,2020-03-01,2020-04-01
14957,27.4,2020-04-01,2020-05-01
14957,21.2,2020-05-01,2020-06-01
14957,35.4,2020-06-01,2020-07-01
14957,34.1,2020-07-01,2020-08-01
14957,29.0,2020-08-01,2020-09-01
14957,28.7,2020-09-01,2020-10-01
14957,34.2,2020-10-01,2020-11-01
14957,23.2,2020-11-01,2020-12-01
14957,25.1,2020-12-01,2021-01-01
14947,118.0,2020-01-01,2020-02-01
14947,98.1,2020-02-01,2020-03-01
14947,75.0,2020-03-01,2020-04-01
14947,53.0,2020-04-01,2020-05-01
14947,69.2,2020-05-01,2020-06-01
14947,76.7,2020-06-01,2020-07-01
14947,74.8,2020-07-01,2020-08-01
14947,69.9,2020-08-01,2020-09-01
14947,70.0,2020-09-01,2020-10-01
14947,109.0,2020-10-01,2020-11-01
14947,118.0,2020-11-01,2020-12-01
14947,188.0,2020-12-01,2021-01-01
14944,58.8,2020-01-01,2020-02-01
14944,45.6,2020-02-01,2020-03-01
14944,28.5,2020-03-01,2020-04-01
14944,16.5,2020-04-01,2020-05-01
14944,16.2,2020-05-01,2020-06-01
14944,22.7,2020-06-01,2020-07-01
14944,25.2,2020-07-01,2020-08-01
14944,23.1,2020-08-01,2020-09-01
14944,27.0,2020-09-01,2020-10-01
14944,49.6,2020-10-01,2020-11-01
14944,58.6,2020-11-01,2020-12-01
14944,94.4,2020-12-01,2021-01-01
14939,9.74,2020-01-01,2020-02-01
14939,21.2,2020-02-01,2020-03-01
14939,24.9,2020-03-01,2020-04-01
14939,19.0,2020-04-01,2020-05-01
14939,18.1,2020-05-01,2020-06-01
14939,6.44,2020-06-01,2020-07-01
14939,6.99,2020-07-01,2020-08-01
14939,15500.0,2020-08-01,2020-09-01
14939,2470.0,2020-09-01,2020-10-01
14939,15.7,2020-10-01,2020-11-01
14939,6030.0,2020-11-01,2020-12-01
14939,365.0,2020-12-01,2021-01-01
14814,655.0,2020-01-01,2020-02-01
14814,553.0,2020-02-01,2020-03-01
14814,504.0,2020-03-01,2020-04-01
14814,33.2,2020-04-01,2020-05-01
14814,503.0,2020-05-01,2020-06-01
14814,542.0,2020-06-01,2020-07-01
14814,505.0,2020-07-01,2020-08-01
14814,444.0,2020-08-01,2020-09-01
14814,536.0,2020-09-01,2020-10-01
14814,761.0,2020-10-01,2020-11-01
14814,605.0,2020-11-01,2020-12-01
14814,644.0,2020-12-01,2021-01-01
14810,13.9,2020-01-01,2020-02-01
14810,13.7,2020-02-01,2020-03-01
14810,6.95,2020-03-01,2020-04-01
14810,4.6,2020-04-01,2020-05-01
14810,6.82,2020-05-01,2020-06-01
14810,10.2,2020-06-01,2020-07-01
14810,6.32,2020-07-01,2020-08-01
14810,6.52,2020-08-01,2020-09-01
14810,18.1,2020-09-01,2020-10-01
14810,20.5,2020-10-01,2020-11-01
14810,14.2,2020-11-01,2020-12-01
14810,20.7,2020-12-01,2021-01-01
14821,73.4,2020-01-01,2020-02-01
14821,60.9,2020-02-01,2020-03-01
14821,41.2,2020-03-01,2020-04-01
14821,37.4,2020-04-01,2020-05-01
14821,54.5,2020-05-01,2020-06-01
14821,32.1,2020-06-01,2020-07-01
14821,20.2,2020-07-01,2020-08-01
14821,23.1,2020-08-01,2020-09-01
14821,28.0,2020-09-01,2020-10-01
14821,67.4,2020-10-01,2020-11-01
14821,69.7,2020-11-01,2020-12-01
14821,111.0,2020-12-01,2021-01-01
14825,47.3,2020-01-01,2020-02-01
14825,34.7,2020-02-01,2020-03-01
14825,22.8,2020-03-01,2020-04-01
14825,16.9,2020-04-01,2020-05-01
14825,20.1,2020-05-01,2020-06-01
14825,12.2,2020-06-01,2020-07-01
14825,8.24,2020-07-01,2020-08-01
14825,7.92,2020-08-01,2020-09-01
14825,13.1,2020-09-01,2020-10-01
14825,35.8,2020-10-01,2020-11-01
14825,38.9,2020-11-01,2020-12-01
14825,73.4,2020-12-01,2021-01-01
14829,24.0,2020-01-01,2020-02-01
14829,24.0,2020-02-01,2020-03-01
14829,25.2,2020-03-01,2020-04-01
14829,13.9,2020-04-01,2020-05-01
14829,9.63,2020-05-01,2020-06-01
14829,15.2,2020-06-01,2020-07-01
14829,12.7,2020-07-01,2020-08-01
14829,12.6,2020-08-01,2020-09-01
14829,25.1,2020-09-01,2020-10-01
14829,23.6,2020-10-01,2020-11-01
14829,32.6,2020-11-01,2020-12-01
14829,14.9,2020-12-01,2021-01-01
