Sensor_id,Value,DateTimeFrom,DateTimeTo
710.0,856.0,2020-01-01,2020-01-02
710.0,774.0,2020-01-02,2020-01-03
710.0,656.0,2020-01-03,2020-01-04
710.0,994.0,2020-01-04,2020-01-05
710.0,860.0,2020-01-05,2020-01-06
710.0,723.0,2020-01-06,2020-01-07
710.0,805.0,2020-01-07,2020-01-08
710.0,816.0,2020-01-08,2020-01-09
710.0,908.0,2020-01-09,2020-01-10
710.0,864.0,2020-01-10,2020-01-11
710.0,1070.0,2020-01-11,2020-01-12
710.0,1010.0,2020-01-12,2020-01-13
710.0,1180.0,2020-01-13,2020-01-14
710.0,1040.0,2020-01-14,2020-01-15
710.0,764.0,2020-01-15,2020-01-16
710.0,830.0,2020-01-16,2020-01-17
710.0,656.0,2020-01-17,2020-01-18
710.0,898.0,2020-01-18,2020-01-19
710.0,743.0,2020-01-19,2020-01-20
710.0,852.0,2020-01-20,2020-01-21
710.0,801.0,2020-01-21,2020-01-22
710.0,865.0,2020-01-22,2020-01-23
710.0,935.0,2020-01-23,2020-01-24
710.0,1020.0,2020-01-24,2020-01-25
710.0,1320.0,2020-01-25,2020-01-26
710.0,1180.0,2020-01-26,2020-01-27
710.0,923.0,2020-01-27,2020-01-28
710.0,575.0,2020-01-28,2020-01-29
710.0,840.0,2020-01-29,2020-01-30
710.0,855.0,2020-01-30,2020-01-31
710.0,737.0,2020-01-31,2020-02-01
710.0,555.0,2020-02-01,2020-02-02
710.0,639.0,2020-02-02,2020-02-03
710.0,661.0,2020-02-03,2020-02-04
710.0,762.0,2020-02-04,2020-02-05
710.0,507.0,2020-02-05,2020-02-06
710.0,616.0,2020-02-06,2020-02-07
710.0,557.0,2020-02-07,2020-02-08
710.0,840.0,2020-02-08,2020-02-09
710.0,890.0,2020-02-09,2020-02-10
710.0,793.0,2020-02-10,2020-02-11
710.0,867.0,2020-02-11,2020-02-12
710.0,1120.0,2020-02-12,2020-02-13
710.0,1060.0,2020-02-13,2020-02-14
710.0,1480.0,2020-02-14,2020-02-15
710.0,806.0,2020-02-15,2020-02-16
710.0,1420.0,2020-02-17,2020-02-18
710.0,1070.0,2020-02-18,2020-02-19
710.0,1250.0,2020-02-19,2020-02-20
710.0,1310.0,2020-02-29,2020-03-01
710.0,1190.0,2020-03-01,2020-03-02
710.0,1120.0,2020-03-02,2020-03-03
710.0,970.0,2020-03-03,2020-03-04
710.0,861.0,2020-03-04,2020-03-05
710.0,1140.0,2020-03-05,2020-03-06
710.0,702.0,2020-03-06,2020-03-07
710.0,805.0,2020-03-07,2020-03-08
710.0,486.0,2020-03-08,2020-03-09
710.0,1090.0,2020-03-09,2020-03-10
710.0,722.0,2020-03-10,2020-03-11
710.0,738.0,2020-03-11,2020-03-12
710.0,937.0,2020-03-12,2020-03-13
710.0,682.0,2020-03-13,2020-03-14
710.0,823.0,2020-03-14,2020-03-15
710.0,781.0,2020-03-15,2020-03-16
710.0,838.0,2020-03-16,2020-03-17
710.0,779.0,2020-03-17,2020-03-18
710.0,760.0,2020-03-18,2020-03-19
710.0,914.0,2020-03-19,2020-03-20
710.0,811.0,2020-03-20,2020-03-21
710.0,907.0,2020-03-21,2020-03-22
710.0,527.0,2020-03-22,2020-03-23
710.0,421.0,2020-03-23,2020-03-24
710.0,543.0,2020-03-24,2020-03-25
710.0,423.0,2020-03-25,2020-03-26
710.0,410.0,2020-03-26,2020-03-27
710.0,388.0,2020-03-27,2020-03-28
710.0,435.0,2020-03-28,2020-03-29
710.0,507.0,2020-03-29,2020-03-30
