Location_id,Sensor_id,State,Area,Sensor_name,Latitude,Longitude
407,710,Telangana,Zoo Park,co µg/m³,17.349694,78.451437
407,712,Telangana,Zoo Park,no2 µg/m³,17.349694,78.451437
407,713,Telangana,Zoo Park,so2 µg/m³,17.349694,78.451437
407,714,Telangana,Zoo Park,pm25 µg/m³,17.349694,78.451437
407,715,Telangana,Zoo Park,pm10 µg/m³,17.349694,78.451437
301,1166,Haryana,Vikas Sadan,pm25 µg/m³,28.4501238,77.0263051
697,1205,West Bengal,Haldia,no2 µg/m³,22.06047,88.109737
697,1207,West Bengal,Haldia,co µg/m³,22.06047,88.109737
697,1208,West Bengal,Haldia,so2 µg/m³,22.06047,88.109737
697,1209,West Bengal,Haldia,pm10 µg/m³,22.06047,88.109737
860,1545,Punjab,Sanjay Palace,pm25 µg/m³,27.19865833,78.00598056
860,1546,Punjab,Sanjay Palace,co µg/m³,27.19865833,78.00598056
2456,4712,Uttar Pradesh,Talkatora District Industries Center,co µg/m³,26.83399722,80.8917361
2456,5231,Uttar Pradesh,Talkatora District Industries Center,no2 µg/m³,26.83399722,80.8917361
2586,5339,Tamil Nadu,Manali,co µg/m³,13.164544,80.26285
2586,5340,Tamil Nadu,Manali,no2 µg/m³,13.164544,80.26285
2583,5343,Haryana,Sector-6,pm25 µg/m³,30.7057778,76.85318056
2583,5345,Haryana,Sector-6,so2 µg/m³,30.7057778,76.85318056
2583,5357,Haryana,Sector-6,no2 µg/m³,30.7057778,76.85318056
2583,5359,Haryana,Sector-6,co µg/m³,30.7057778,76.85318056
301,5396,Haryana,Vikas Sadan,co µg/m³,28.4501238,77.0263051
2596,5397,Maharashtra,Solapur,pm25 µg/m³,17.6599188,75.9063906
2596,5399,Maharashtra,Solapur,pm10 µg/m³,17.6599188,75.9063906
2596,5402,Maharashtra,Solapur,no2 µg/m³,17.6599188,75.9063906
2596,5403,Maharashtra,Solapur,so2 µg/m³,17.6599188,75.9063906
301,5405,Haryana,Vikas Sadan,so2 µg/m³,28.4501238,77.0263051
2596,5406,Maharashtra,Solapur,co µg/m³,17.6599188,75.9063906
301,5409,Haryana,Vikas Sadan,no2 µg/m³,28.4501238,77.0263051
2456,14237,Uttar Pradesh,Talkatora District Industries Center,pm25 µg/m³,26.83399722,80.8917361
2456,14238,Uttar Pradesh,Talkatora District Industries Center,so2 µg/m³,26.83399722,80.8917361
2586,14311,Tamil Nadu,Manali,so2 µg/m³,13.164544,80.26285
2586,14319,Tamil Nadu,Manali,pm25 µg/m³,13.164544,80.26285
860,14322,Punjab,Sanjay Palace,so2 µg/m³,27.19865833,78.00598056
5509,14519,Delhi (NCT),Anand Vihar,co µg/m³,28.647622,77.315809
5509,14520,Delhi (NCT),Anand Vihar,so2 µg/m³,28.647622,77.315809
5509,14521,Delhi (NCT),Anand Vihar,pm25 µg/m³,28.647622,77.315809
5509,14522,Delhi (NCT),Anand Vihar,pm10 µg/m³,28.647622,77.315809
5509,14523,Delhi (NCT),Anand Vihar,no2 µg/m³,28.647622,77.315809
5541,14620,Delhi (NCT),Burari Crossing,pm10 µg/m³,28.7256504,77.2011573
5542,14623,Punjab,Civil Line,so2 µg/m³,31.321907,75.578914
5544,14629,Punjab,Model Town,so2 µg/m³,30.349388,76.366642
5546,14632,Jharkhand,Tata Stadium,so2 µg/m³,23.707909,86.41467
5546,14633,Jharkhand,Tata Stadium,no2 µg/m³,23.707909,86.41467
5547,14634,Karnataka,BWSSB Kadabesanahalli,so2 µg/m³,12.9352049,77.6814488
5548,14635,Karnataka,BTM Layout,pm25 µg/m³,12.9135218,77.5950804
5547,14636,Karnataka,BWSSB Kadabesanahalli,no2 µg/m³,12.9352049,77.6814488
5547,14637,Karnataka,BWSSB Kadabesanahalli,co µg/m³,12.9352049,77.6814488
5548,14639,Karnataka,BTM Layout,no2 µg/m³,12.9135218,77.5950804
5547,14641,Karnataka,BWSSB Kadabesanahalli,pm25 µg/m³,12.9352049,77.6814488
5548,14642,Karnataka,BTM Layout,so2 µg/m³,12.9135218,77.5950804
5546,14643,Jharkhand,Tata Stadium,pm10 µg/m³,23.707909,86.41467
5548,14657,Karnataka,BTM Layout,co µg/m³,12.9135218,77.5950804
5558,14680,Tamil Nadu,Alandur Bus Depot,pm25 µg/m³,12.909916100000002,80.1076538
5558,14681,Tamil Nadu,Alandur Bus Depot,no2 µg/m³,12.909916100000002,80.1076538
5558,14682,Tamil Nadu,Alandur Bus Depot,so2 µg/m³,12.909916100000002,80.1076538
5559,14683,Bihar,Collectorate,pm25 µg/m³,24.7955,84.9994
5559,14684,Bihar,Collectorate,so2 µg/m³,24.7955,84.9994
5559,14685,Bihar,Collectorate,no2 µg/m³,24.7955,84.9994
5558,14690,Tamil Nadu,Alandur Bus Depot,co µg/m³,12.909916100000002,80.1076538
5565,14701,Maharashtra,MIDC Khutala,so2 µg/m³,19.9775302,79.2337086
5565,14702,Maharashtra,MIDC Khutala,pm25 µg/m³,19.9775302,79.2337086
5565,14703,Maharashtra,MIDC Khutala,pm10 µg/m³,19.9775302,79.2337086
5565,14704,Maharashtra,MIDC Khutala,no2 µg/m³,19.9775302,79.2337086
5566,14705,Odisha,"Talcher Coalfields,Talcher",no2 µg/m³,20.9360711,85.1707021
5570,14717,Delhi (NCT),Aya Nagar,pm25 µg/m³,28.474261,77.131606
5574,14732,Karnataka,City Railway Station,so2 µg/m³,12.9756843,77.5660749
5566,14737,Odisha,"Talcher Coalfields,Talcher",co µg/m³,20.9360711,85.1707021
5559,14738,Bihar,Collectorate,co µg/m³,24.7955,84.9994
5566,14739,Odisha,"Talcher Coalfields,Talcher",so2 µg/m³,20.9360711,85.1707021
5576,14740,Rajasthan,Moti Doongri,so2 µg/m³,27.554793,76.611536
5566,14741,Odisha,"Talcher Coalfields,Talcher",pm10 µg/m³,20.9360711,85.1707021
5566,14743,Odisha,"Talcher Coalfields,Talcher",pm25 µg/m³,20.9360711,85.1707021
5565,14766,Maharashtra,MIDC Khutala,co µg/m³,19.9775302,79.2337086
5585,14767,Rajasthan,Ashok Nagar,so2 µg/m³,24.5886166,73.6321397
5585,14768,Rajasthan,Ashok Nagar,no2 µg/m³,24.5886166,73.6321397
