Sensor_id,Value,DateTimeFrom,DateTimeTo
710,856.0,2020-01-01,2020-01-02
710,774.0,2020-01-02,2020-01-03
710,656.0,2020-01-03,2020-01-04
710,994.0,2020-01-04,2020-01-05
710,860.0,2020-01-05,2020-01-06
710,723.0,2020-01-06,2020-01-07
710,805.0,2020-01-07,2020-01-08
710,816.0,2020-01-08,2020-01-09
710,908.0,2020-01-09,2020-01-10
710,864.0,2020-01-10,2020-01-11
710,1070.0,2020-01-11,2020-01-12
710,1010.0,2020-01-12,2020-01-13
710,1180.0,2020-01-13,2020-01-14
710,1040.0,2020-01-14,2020-01-15
710,764.0,2020-01-15,2020-01-16
710,830.0,2020-01-16,2020-01-17
710,656.0,2020-01-17,2020-01-18
710,898.0,2020-01-18,2020-01-19
710,743.0,2020-01-19,2020-01-20
710,852.0,2020-01-20,2020-01-21
710,801.0,2020-01-21,2020-01-22
710,865.0,2020-01-22,2020-01-23
710,935.0,2020-01-23,2020-01-24
710,1020.0,2020-01-24,2020-01-25
710,1320.0,2020-01-25,2020-01-26
710,1180.0,2020-01-26,2020-01-27
710,923.0,2020-01-27,2020-01-28
710,575.0,2020-01-28,2020-01-29
710,840.0,2020-01-29,2020-01-30
710,855.0,2020-01-30,2020-01-31
710,737.0,2020-01-31,2020-02-01
710,555.0,2020-02-01,2020-02-02
710,639.0,2020-02-02,2020-02-03
710,661.0,2020-02-03,2020-02-04
710,762.0,2020-02-04,2020-02-05
710,507.0,2020-02-05,2020-02-06
710,616.0,2020-02-06,2020-02-07
710,557.0,2020-02-07,2020-02-08
710,840.0,2020-02-08,2020-02-09
710,890.0,2020-02-09,2020-02-10
710,793.0,2020-02-10,2020-02-11
710,867.0,2020-02-11,2020-02-12
710,1120.0,2020-02-12,2020-02-13
710,1060.0,2020-02-13,2020-02-14
710,1480.0,2020-02-14,2020-02-15
710,806.0,2020-02-15,2020-02-16
710,1420.0,2020-02-17,2020-02-18
710,1070.0,2020-02-18,2020-02-19
710,1250.0,2020-02-19,2020-02-20
710,1310.0,2020-02-29,2020-03-01
710,1190.0,2020-03-01,2020-03-02
710,1120.0,2020-03-02,2020-03-03
710,970.0,2020-03-03,2020-03-04
710,861.0,2020-03-04,2020-03-05
710,1140.0,2020-03-05,2020-03-06
710,702.0,2020-03-06,2020-03-07
710,805.0,2020-03-07,2020-03-08
710,486.0,2020-03-08,2020-03-09
710,1090.0,2020-03-09,2020-03-10
710,722.0,2020-03-10,2020-03-11
710,738.0,2020-03-11,2020-03-12
710,937.0,2020-03-12,2020-03-13
710,682.0,2020-03-13,2020-03-14
710,823.0,2020-03-14,2020-03-15
710,781.0,2020-03-15,2020-03-16
710,838.0,2020-03-16,2020-03-17
710,779.0,2020-03-17,2020-03-18
710,760.0,2020-03-18,2020-03-19
710,914.0,2020-03-19,2020-03-20
710,811.0,2020-03-20,2020-03-21
710,907.0,2020-03-21,2020-03-22
710,527.0,2020-03-22,2020-03-23
710,421.0,2020-03-23,2020-03-24
710,543.0,2020-03-24,2020-03-25
710,423.0,2020-03-25,2020-03-26
710,410.0,2020-03-26,2020-03-27
710,388.0,2020-03-27,2020-03-28
710,435.0,2020-03-28,2020-03-29
710,507.0,2020-03-29,2020-03-30
710,495.0,2020-03-30,2020-03-31
710,548.0,2020-03-31,2020-04-01
710,575.0,2020-04-01,2020-04-02
710,616.0,2020-04-02,2020-04-03
710,519.0,2020-04-03,2020-04-04
710,305.0,2020-04-10,2020-04-11
710,138.0,2020-04-11,2020-04-12
710,140.0,2020-04-12,2020-04-13
710,110.0,2020-04-13,2020-04-14
710,267.0,2020-04-14,2020-04-15
710,533.0,2020-04-15,2020-04-16
710,503.0,2020-04-16,2020-04-17
710,751.0,2020-04-17,2020-04-18
710,664.0,2020-04-18,2020-04-19
710,336.0,2020-04-19,2020-04-20
710,461.0,2020-04-20,2020-04-21
710,611.0,2020-04-21,2020-04-22
710,551.0,2020-04-22,2020-04-23
710,469.0,2020-04-23,2020-04-24
710,702.0,2020-04-24,2020-04-25
710,522.0,2020-04-26,2020-04-27
710,622.0,2020-04-27,2020-04-28
710,437.0,2020-04-28,2020-04-29
710,527.0,2020-04-29,2020-04-30
710,1070.0,2020-04-30,2020-05-01
710,655.0,2020-05-01,2020-05-02
710,808.0,2020-05-02,2020-05-03
710,769.0,2020-05-03,2020-05-04
710,426.0,2020-05-04,2020-05-05
710,503.0,2020-05-05,2020-05-06
710,875.0,2020-05-06,2020-05-07
710,172.0,2020-05-07,2020-05-08
710,766.0,2020-05-08,2020-05-09
710,371.0,2020-05-09,2020-05-10
710,354.0,2020-05-10,2020-05-11
710,872.0,2020-05-11,2020-05-12
712,47.9,2020-01-01,2020-01-02
712,43.0,2020-01-02,2020-01-03
712,36.7,2020-01-03,2020-01-04
712,48.5,2020-01-04,2020-01-05
712,52.5,2020-01-05,2020-01-06
712,52.0,2020-01-06,2020-01-07
712,47.3,2020-01-07,2020-01-08
712,31.6,2020-01-08,2020-01-09
712,43.4,2020-01-09,2020-01-10
712,46.0,2020-01-10,2020-01-11
712,62.6,2020-01-11,2020-01-12
712,58.6,2020-01-12,2020-01-13
712,65.0,2020-01-13,2020-01-14
712,67.2,2020-01-14,2020-01-15
712,52.4,2020-01-15,2020-01-16
712,53.2,2020-01-16,2020-01-17
712,50.5,2020-01-17,2020-01-18
712,54.6,2020-01-18,2020-01-19
712,46.9,2020-01-19,2020-01-20
712,51.2,2020-01-20,2020-01-21
712,55.3,2020-01-21,2020-01-22
712,52.4,2020-01-22,2020-01-23
712,54.7,2020-01-23,2020-01-24
712,58.8,2020-01-24,2020-01-25
712,59.7,2020-01-25,2020-01-26
712,58.5,2020-01-26,2020-01-27
712,56.6,2020-01-27,2020-01-28
712,39.7,2020-01-28,2020-01-29
712,43.1,2020-01-29,2020-01-30
712,52.0,2020-01-30,2020-01-31
712,59.5,2020-01-31,2020-02-01
712,48.3,2020-02-01,2020-02-02
712,42.5,2020-02-02,2020-02-03
712,44.4,2020-02-03,2020-02-04
712,44.4,2020-02-04,2020-02-05
712,41.3,2020-02-05,2020-02-06
712,448.0,2020-02-06,2020-02-07
712,62.7,2020-02-07,2020-02-08
712,485.0,2020-02-08,2020-02-09
712,356.0,2020-02-09,2020-02-10
712,220.0,2020-02-10,2020-02-11
712,377.0,2020-02-11,2020-02-12
712,412.0,2020-02-12,2020-02-13
712,60.2,2020-02-13,2020-02-14
712,61.7,2020-02-14,2020-02-15
712,62.6,2020-02-15,2020-02-16
712,76.6,2020-02-17,2020-02-18
712,68.9,2020-02-18,2020-02-19
712,83.8,2020-02-19,2020-02-20
712,49.1,2020-02-29,2020-03-01
712,46.7,2020-03-01,2020-03-02
712,42.1,2020-03-02,2020-03-03
712,38.4,2020-03-03,2020-03-04
712,35.5,2020-03-04,2020-03-05
712,45.2,2020-03-05,2020-03-06
712,29.5,2020-03-06,2020-03-07
712,35.8,2020-03-07,2020-03-08
712,32.6,2020-03-08,2020-03-09
712,42.6,2020-03-09,2020-03-10
712,34.0,2020-03-10,2020-03-11
712,37.7,2020-03-11,2020-03-12
712,42.8,2020-03-12,2020-03-13
712,37.9,2020-03-13,2020-03-14
712,37.1,2020-03-14,2020-03-15
712,39.2,2020-03-15,2020-03-16
712,38.5,2020-03-16,2020-03-17
712,40.1,2020-03-17,2020-03-18
712,40.4,2020-03-18,2020-03-19
712,45.6,2020-03-19,2020-03-20
712,43.2,2020-03-20,2020-03-21
712,42.2,2020-03-21,2020-03-22
712,27.9,2020-03-22,2020-03-23
712,23.5,2020-03-23,2020-03-24
712,22.3,2020-03-24,2020-03-25
712,21.0,2020-03-25,2020-03-26
712,22.0,2020-03-26,2020-03-27
712,22.0,2020-03-27,2020-03-28
712,21.9,2020-03-28,2020-03-29
712,21.5,2020-03-29,2020-03-30
712,23.7,2020-03-30,2020-03-31
712,22.0,2020-03-31,2020-04-01
712,19.8,2020-04-01,2020-04-02
712,19.8,2020-04-02,2020-04-03
712,18.3,2020-04-03,2020-04-04
712,23.2,2020-04-10,2020-04-11
712,235.0,2020-04-11,2020-04-12
712,232.0,2020-04-12,2020-04-13
712,361.0,2020-04-13,2020-04-14
712,25.1,2020-04-14,2020-04-15
712,24.2,2020-04-15,2020-04-16
712,23.8,2020-04-16,2020-04-17
712,42.3,2020-04-17,2020-04-18
712,42.6,2020-04-18,2020-04-19
712,42.2,2020-04-19,2020-04-20
712,43.5,2020-04-20,2020-04-21
712,42.9,2020-04-21,2020-04-22
712,44.8,2020-04-22,2020-04-23
712,44.1,2020-04-23,2020-04-24
712,43.4,2020-04-24,2020-04-25
712,45.3,2020-04-26,2020-04-27
712,49.2,2020-04-27,2020-04-28
