,0
0,710
1,712
2,713
3,714
4,715
5,4712
6,5231
7,14237
8,14238
9,14519
10,14520
11,14521
12,14522
13,14523
14,14620
15,14634
16,14635
17,14636
18,14637
19,14639
20,14641
21,14642
22,14657
23,14717
24,14732
25,14773
26,14775
27,14779
28,14813
29,14820
30,14842
31,14850
32,14859
33,14860
34,14862
35,14886
36,14902
37,14909
38,14912
39,14916
40,14918
41,14919
42,14922
43,14923
44,14928
45,14933
46,14935
47,14936
48,14941
49,14946
50,14952
51,14958
52,14959
53,14974
54,14978
55,14980
56,14983
57,14984
58,14985
59,15010
60,15019
61,15027
62,15032
63,15033
64,15035
65,15037
66,15039
67,15046
68,15049
69,15051
70,15053
71,15061
72,15065
73,15082
74,15098
75,15119
76,15129
77,15130
78,15142
79,15143
80,15149
81,15151
82,15153
83,15155
84,15167
85,15172
86,15178
87,15181
88,15183
89,15184
90,15193
91,15213
92,15217
93,15221
94,15226
95,15228
96,15230
97,15270
98,17540
99,17541
100,17542
101,17543
102,17766
103,17768
104,17769
105,17770
106,17771
107,17772
108,17773
109,17775
110,17776
111,17778
112,17779
113,17780
114,17790
115,17791
116,17792
117,19892
118,19893
119,19894
120,19896
121,19897
122,19898
123,19899
124,19900
125,19901
126,19902
127,19904
128,19906
129,19912
130,19919
131,19925
132,19926
133,19929
134,19930
135,19933
136,19934
137,19935
138,19936
139,19938
140,19939
141,19941
142,19943
143,19948
144,19956
145,19957
146,19975
147,19976
148,19977
149,19978
150,19980
151,19981
152,19982
153,19986
154,19987
155,19988
156,19993
157,19994
158,19997
159,20002
160,20010
161,20015
162,20017
163,20019
164,20020
165,20021
166,20023
167,20029
168,20030
169,20032
170,20033
171,20034
172,20037
173,20040
174,20046
175,20049
176,20055
177,20068
178,20069
179,20075
180,20076
181,20079
182,20081
183,20083
184,20085
185,20087
186,20090
187,20095
188,20096
189,20097
190,20101
191,20107
192,20109
193,20125
194,20128
195,20137
196,20142
197,20143
198,20144
199,20147
200,20150
201,20152
202,20153
203,20154
204,20156
205,20161
206,20162
207,20164
208,20165
209,20166
210,20169
211,20171
212,20172
213,20173
214,20175
215,20176
216,20190
217,20195
218,20196
219,20198
220,20199
221,20200
222,20203
223,20210
224,20211
225,20212
226,20213
227,20222
228,20224
229,20226
230,20228
231,20236
232,20239
233,20243
234,20251
235,20254
236,20407
237,20408
238,20409
239,20410
240,20411
241,20574
242,23320
243,23534
244,23669
245,23993
246,23994
247,23996
248,23997
249,23998
250,24007
251,24008
252,24009
253,24010
254,24011
255,24303
256,24602
257,24615
258,24857
259,26026
260,26032
261,34728
262,34729
263,34731
264,34732
265,34750
266,34758
267,34759
268,34760
269,34761
270,34762
271,34763
272,34764
273,34766
274,34767
275,34768
276,34769
277,34772
278,34773
279,34774
280,34775
281,34776
282,34778
283,34779
284,34781
285,34785
286,34786
287,34789
288,34790
289,34791
290,34793
291,34799
292,34821
293,34823
294,34957
295,34959
296,35009
297,35010
298,35012
299,35015
300,35016
301,35047
302,35049
303,35050
304,35051
305,35352
306,35353
307,35355
308,35356
309,35447
310,36050
311,36168
312,36208
313,36209
314,36210
315,36316
316,36317
317,36318
318,36320
319,36321
320,36382
321,36391
322,36394
323,36395
324,36399
325,36449
326,36519
327,36520
328,36549
329,36551
330,36602
331,36609
332,36639
333,36640
334,36644
335,36648
336,36651
337,36652
338,36671
339,36683
340,36686
341,36687
342,36689
343,36690
344,36692
345,36693
346,36694
347,36696
348,36698
349,36699
350,39404
351,39405
352,39406
353,39407
354,39408
355,39410
356,39411
357,39412
358,39413
359,39414
360,39416
361,39417
362,39418
363,39419
364,39420
365,39428
366,39429
367,39430
368,39431
369,39433
370,39434
371,39435
372,39436
373,39437
374,39454
375,39455
376,39456
377,39457
378,39458
379,39460
380,39461
381,39462
382,39463
383,39464
384,40569
385,40571
386,40572
387,40573
388,40574
389,40608
390,40609
391,40612
392,40615
393,40616
394,40617
395,40620
396,40622
397,40624
398,40628
399,40636
400,40639
401,40640
402,40641
403,40642
404,40650
405,40652
406,389760
407,389761
408,389767
409,389771
410,1303004
411,1303005
412,1305377
413,1311815
414,1311816
415,1311821
416,1311823
417,1311828
418,1320641
419,1320642
420,1320643
421,1320644
422,1320645
423,1321495
424,1321496
425,1321497
426,1321498
427,1321500
428,1348527
429,1348528
430,1349383
431,1349384
432,1349386
433,1349387
434,1349388
